gene.name	time	gene.regulation	mean
SDK2	30	up-regulated	0.0854007027533013
SDK2	60	up-regulated	0.0815983260057881
SDK2	120	up-regulated	0.0870133178917556
SDK2	180	up-regulated	0.126395077062429
SDK2	240	up-regulated	0.26827125945402
SDK2	300	up-regulated	1.01204896940027
SDK2	360	up-regulated	1.14956826176867
SDK2	420	up-regulated	1.59193971488971
SDK2	480	up-regulated	1.73697322797343
SDK2	600	up-regulated	2.44065316231089
SDK2	720	up-regulated	2.3567606378181
EXO1	0	down-regulated	0
EXO1	30	down-regulated	0.230004625791116
EXO1	60	down-regulated	0.101169649493876
EXO1	120	down-regulated	-0.0261906137989508
EXO1	180	down-regulated	-0.189189774698409
EXO1	240	down-regulated	-0.305663186105722
EXO1	300	down-regulated	-0.775908680895051
EXO1	360	down-regulated	-0.747445756045184
EXO1	420	down-regulated	-1.50663620356668
EXO1	480	down-regulated	-1.5460775474494
EXO1	600	down-regulated	-2.13432899853298
EXO1	720	down-regulated	-2.55726801341606
MCM6	0	down-regulated	0
MCM6	30	down-regulated	0.134009529087907
MCM6	60	down-regulated	0.124004965758794
MCM6	120	down-regulated	0.302661007018509
MCM6	180	down-regulated	0.213061765170285
MCM6	240	down-regulated	-0.0417286968064747
MCM6	300	down-regulated	-0.130897775969655
MCM6	360	down-regulated	-0.72382235560584
MCM6	420	down-regulated	-1.2920300789951
MCM6	480	down-regulated	-1.43631976716627
MCM6	600	down-regulated	-2.06004982776599
MCM6	720	down-regulated	-2.51243150912668
ADGRL1	0	up-regulated	0
ADGRL1	30	up-regulated	0.01387623913081
ADGRL1	60	up-regulated	0.326834360937962
ADGRL1	120	up-regulated	0.416611023239377
ADGRL1	180	up-regulated	0.56632796964009
ADGRL1	240	up-regulated	0.640693628665329
ADGRL1	300	up-regulated	1.19991334051289
ADGRL1	360	up-regulated	1.41400120512063
ADGRL1	420	up-regulated	1.51875472487728
ADGRL1	480	up-regulated	1.78569808313346
ADGRL1	600	up-regulated	2.6030489852059
ADGRL1	720	up-regulated	2.56042759926073
ZWINT	0	down-regulated	0
ZWINT	30	down-regulated	-0.178517879580405
ZWINT	60	down-regulated	0.271724866256269
ZWINT	120	down-regulated	-0.411618046705738
ZWINT	180	down-regulated	-0.278973739226662
ZWINT	240	down-regulated	-0.404879759033854
ZWINT	300	down-regulated	-0.597981680661837
ZWINT	360	down-regulated	-0.817950456870564
ZWINT	420	down-regulated	-1.51953061373428
ZWINT	480	down-regulated	-1.64934153237373
ZWINT	600	down-regulated	-2.16754965365008
ZWINT	720	down-regulated	-2.68336513488821
MCM10	0	down-regulated	0
MCM10	30	down-regulated	0.192655848696291
MCM10	60	down-regulated	-0.0045706270703666
MCM10	120	down-regulated	0.296406471406711
MCM10	180	down-regulated	0.05470648835194
MCM10	240	down-regulated	-0.00561011825551261
MCM10	300	down-regulated	-0.498236656877768
MCM10	360	down-regulated	-0.73840265042816
MCM10	420	down-regulated	-1.33003158318145
MCM10	480	down-regulated	-1.44800077376105
MCM10	600	down-regulated	-2.11439297704668
MCM10	720	down-regulated	-2.50930037950014
ALOX5AP	0	up-regulated	0
ALOX5AP	30	up-regulated	0.0486007884497404
ALOX5AP	60	up-regulated	0.522472923155889
ALOX5AP	120	up-regulated	0.855859306707081
ALOX5AP	180	up-regulated	1.04555263380134
ALOX5AP	240	up-regulated	0.907002823684513
ALOX5AP	300	up-regulated	1.26093329795376
ALOX5AP	360	up-regulated	1.91668757476948
ALOX5AP	420	up-regulated	1.74965727883301
ALOX5AP	480	up-regulated	1.94310690943409
ALOX5AP	600	up-regulated	2.87166513631926
ALOX5AP	720	up-regulated	2.73109270123722
WDR76	0	down-regulated	0
WDR76	30	down-regulated	-0.101519957181768
WDR76	60	down-regulated	0.0226028612463211
WDR76	120	down-regulated	-0.102453143989873
WDR76	180	down-regulated	-0.000942159758183236
WDR76	240	down-regulated	-0.0544568340229935
WDR76	300	down-regulated	-0.409842485793086
WDR76	360	down-regulated	-0.840268919064957
WDR76	420	down-regulated	-1.51589915911658
WDR76	480	down-regulated	-1.55220371513191
WDR76	600	down-regulated	-2.24923145013606
WDR76	720	down-regulated	-2.57465052507253
CDCA5	0	down-regulated	0
CDCA5	30	down-regulated	-0.220165029192066
CDCA5	60	down-regulated	-0.220596312813513
CDCA5	120	down-regulated	0.176405520284326
CDCA5	180	down-regulated	0.149760607769109
