gene.name	t00_rep1	t00_rep2	t00_rep3	t00_rep4	t05_rep1	t05_rep2	t05_rep3	t05_rep4	t1_rep1	t1_rep2	t1_rep3	t1_rep4	t2_rep1	t2_rep2	t2_rep3	t2_rep4	t3_rep1	t3_rep2	t3_rep3	t3_rep4	t4_rep1	t4_rep2	t4_rep3	t4_rep4	t5_rep2	t5_rep3	t5_rep4	t6_rep2	t6_rep3	t6_rep4	t7_rep1	t7_rep2	t7_rep3	t7_rep4	t8_rep1	t8_rep2	t8_rep3	t8_rep4	t10_rep1	t10_rep2	t10_rep3	t10_rep4	t12_rep1	t12_rep2	t12_rep3	t12_rep4	mean	fdr
MECP2	1410.86956521739	1454.79347826087	1557.28260869565	1459.69565217391	1552.13043478261	1369.45652173913	1351.44565217391	1426.4347826087	1482.09782608696	1505.02173913043	1390.5652173913	1588.15217391304	1503.54347826087	1405.5652173913	1500.65217391304	1466.86956521739	1535.40217391304	1523.94565217391	1806.0652173913	1691.63043478261	1260.02173913044	1502.08695652174	1591.01086956522	1803.5	1728.60869565217	1628.73913043478	1865.78260869565	1554	1572.59782608696	1705.71739130435	1443.23913043478	1500.91304347826	1680.9347826087	1464.23913043478	1574.41304347826	1697.52173913043	1245.89130434783	1548.89130434783	1370.21739130435	1529.02173913043	1405.30434782609	1595.05434782609	1374.34782608696	1289.02173913043	1231.69565217391	1486.63043478261	1513.71786956522	0.708269709200534
GSK3B	5052.58695652174	4325.19565217391	4692.30434782609	4973.88043478261	4849.89130434783	4376.08695652174	4583.65217391304	5278.5	4074.78260869565	4700.97826086957	5168.9347826087	4944.26086956522	4148.17391304348	3637.94565217391	3900.58695652174	4394.5	3947.54347826087	3517.61956521739	4355.63043478261	4345.3152173913	4032.34782608696	3971.08695652174	4402.45652173913	4401.0652173913	4442.59782608696	4139.86956521739	5198.71739130435	4329.84782608696	4469.33695652174	4676.47826086957	4269.5	4737.4347826087	4502.47826086957	4544.63043478261	4598.32608695652	3809.11956521739	3963.4347826087	4811.52173913044	4200.55434782609	4125.78260869565	4135.78260869565	5519.21739130435	4241.08695652174	4405.71739130435	5214.30434782609	5584.63043478261	4478.1672826087	0.872319697382226
CGGBP1	3575.55434782609	4008.97826086957	3664.91304347826	3681.15217391304	3510	3880	3599.02173913044	3887.67391304348	3295.5652173913	3611.26086956522	3583.88043478261	4252.5652173913	3352.17391304348	3122.95652173913	2983.9347826087	4033.94565217391	3504	3225.20652173913	3041.97826086957	4257.6847826087	3164.32608695652	3579.84782608696	3636.78260869565	4299.52173913044	4050.36956521739	3532.26086956522	4608.78260869565	3791.19565217391	3628	3961.8152173913	3721.47826086957	3943.55434782609	3781.53260869565	3609.02173913044	3709.89130434783	3500.39130434783	3912.15217391304	3782.76086956522	3396.60869565217	3214.27173913044	3507.69565217391	3700.5652173913	2950.08695652174	4210.36956521739	3872.41304347826	3773.34782608696	3671.98895652174	0.961997517770803
ZNF207	5925.20652173913	5597.30434782609	5491	5740.84782608696	5607.65217391304	5470.58695652174	5116.02173913044	5551.0652173913	4995.9347826087	5862.41304347826	5846.80434782609	6353.73913043478	4780.04347826087	4492.13043478261	4211.75	6150.15217391304	5177.76086956522	4783.41304347826	4328.25	6567.78260869565	5351.08695652174	5210.97826086957	5661.63043478261	6169.86956521739	5300.5652173913	5001.16304347826	5942.4347826087	5457.09782608696	5942.4347826087	6121.10869565218	5100.17391304348	5284.98913043478	4521.52173913044	5735.4347826087	4594.69565217391	4737.4347826087	5159.78260869565	5981.73913043478	4875.4347826087	4384.15217391304	4272.15217391304	5470.58695652174	4190.5652173913	5480.69565217391	5448.28260869565	5885.34782608696	5333.28736956522	0.331954007459871
MRPL13	1786.91304347826	1742.60869565217	1553.66304347826	1759.39130434783	1603.02173913044	1630.67391304348	1507.71739130435	1975.13043478261	1538.26086956522	1929.97826086957	2015.76086956522	1844.17391304348	1370.41304347826	1243.45652173913	1240.73913043478	1626.08695652174	1674.19565217391	1461.60869565217	1179.60869565217	1997.6847826087	1878.91304347826	1532.5652173913	1731.23913043478	1943.63043478261	1622.36956521739	1550.19565217391	2500.02173913044	1637.79347826087	1657.95652173913	1641.10869565217	1658.71739130435	1582.17391304348	1542.92391304348	1654	1428.47826086957	1286.53260869565	1487.60869565217	1671.95652173913	1624.71739130435	1156.23913043478	1298.84782608696	2051.75	1342.36956521739	1831.20652173913	1713.28260869565	1854.83695652174	1642.66358695652	0.708269709200534
COLGALT1	2690.54347826087	2513.76086956522	2655.97826086957	2576.21739130435	2612.03260869565	2463.73913043478	2797.95652173913	2401.95652173913	2439.39130434783	2272.04347826087	2420.5	2518.39130434783	2964.63043478261	2987.95652173913	3095.83695652174	2931.85869565217	2679.58695652174	2765.65217391304	3104.63043478261	2352.56521739131	2687.52173913044	2584.51086956522	2478.44565217391	2437.16304347826	2648.41304347826	2630.52173913044	2174.48913043478	2687.95652173913	2584.04347826087	2357.96739130435	2726.73913043478	2576.80434782609	2507.45652173913	2574.76086956522	2581.84782608696	2743.89130434783	2361.15217391304	2374.08695652174	2556.9347826087	2957.17391304348	3031.52173913044	2295.1847826087	3067.5	2351.65217391304	2365.95652173913	2305.29347826087	2606.39602173913	0.811244390018805
TMEM14C	4853.13043478261	5127.89130434783	4753.47826086957	4856.76086956522	4343.97826086957	5180.10869565217	4555.89130434783	5302.85869565217	5399.96739130435	6060.76086956522	4992.41304347826	3826.71739130435	4118.64130434783	3262.86956521739	3120.45652173913	3593	4847.5	3878.73913043478	3055.71739130435	4175.11956521739	5572.9347826087	4242.52173913043	4768.80434782609	3903	4266.97826086957	4002.22826086956	4210.36956521739	4686.4347826087	4187.5652173913	4274.91304347826	4129.8152173913	3850.0652173913	3827.96739130435	4671.61956521739	3562.21739130435	3775.32608695652	4381.02173913043	4879.10869565218	3573.4347826087	2446.5	3201.32608695652	4871.13043478261	2766.63043478261	4948.15217391304	5170.34782608696	5014.76086956522	4315.02547826087	0.29937308481829
TRAF7	2396.39130434783	2364.95652173913	2394.63043478261	1760.30434782609	2175.73913043478	2311.14130434783	2599.10869565217	1525.90217391304	2589.80434782609	2063.20652173913	1758.0652173913	1640.73913043478	2809.34782608696	2904.97826086957	2621.90217391304	1861.85869565217	2125.51086956522	2714.52173913044	2304.28260869565	1544.67391304348	2314.26086956522	2226.03260869565	1986.46739130435	1607.60869565217	1968.76086956522	2075.65217391304	1394.41304347826	2266.45652173913	1856.67391304348	1736.84782608696	2316.02173913044	2183.80434782609	2210.89130434783	1892.17391304348	2730.17391304348	3082.91304347826	2395.94565217391	1689.19565217391	2581.29347826087	3014.80434782609	3071.78260869565	1554.67391304348	3835.66304347826	2172.30434782609	2194.71739130435	1704.78260869565	2228.94306521739	0.470841604168142
ZC3H13	2325.9347826087	2015.76086956522	2408.84782608696	2551.58695652174	2467.73913043478	2258.23913043478	2248.15217391304	2432.78260869565	2170.14130434783	2117.59782608696	2370.80434782609	2349.65217391304	2353.13043478261	2710.80434782609	2822.42391304348	2416.63043478261	2332.17391304348	2488.21739130435	2985.21739130435	2445.54347826087	2339.88043478261	2430.08695652174	2305.29347826087	2322.85869565217	2476.71739130435	2416.05434782609	2316.82608695652	2118.9347826087	2205.34782608696	2327.5	2678.45652173913	2532.75	2557.42391304348	2475.78260869565	2758.5	2559.82608695652	2336.5	2442.91304347826	2517.97826086957	3242.5	2716.47826086957	2373.57608695652	2743.13043478261	2164.27173913044	2404.80434782609	2266.05434782609	2441.34395652174	0.337416985809803
RPL32	6169.86956521739	5418.19565217391	5062.28260869565	3874.71739130435	5368.45652173913	5134.33695652174	5544.80434782609	3820.19565217391	6551.15217391304	5846.80434782609	5054.4347826087	3462.79347826087	6140.70652173913	5745.0652173913	4352.30434782609	3616.67391304348	4992.41304347826	6050.15217391304	3315.53260869565	3505.91304347826	6137.41304347826	5154.65217391304	5291.04347826087	3382.33695652174	4149.54347826087	4914.28260869565	3156.34782608696	5250.26086956522	4369.30434782609	3516.4347826087	5796.89130434783	4932.30434782609	5103.80434782609	3925.86956521739	5535.52173913044	7469.36956521739	5443.39130434783	3652.39130434783	5836.47826086957	4119.67391304348	4608.78260869565	3164.32608695652	5011.5	5238.72826086957	4729.60869565217	3400.04347826087	4832.98060869565	0.706328164233406
