gene.name	gene.regulation
ITGA5	up-regulated
VASN	down-regulated
SENP1	down-regulated
SGMS2	up-regulated
GPD1L	up-regulated
GPRIN1	down-regulated
RHNO1	down-regulated
A4GALT	up-regulated
PDLIM1	up-regulated
SLC45A1	up-regulated
CD44	down-regulated
SH3TC1	up-regulated
PITPNM3	up-regulated
NPTXR	down-regulated
ATOH8	up-regulated
OSBPL1A	up-regulated
FAM83D	down-regulated
NES	down-regulated
VCAN	down-regulated
TCF7	down-regulated
HPD	up-regulated
PKMYT1	down-regulated
FBXO3	up-regulated
MIR3936HG	up-regulated
LMO4	down-regulated
LYN	down-regulated
SHISAL1	down-regulated
KIAA1210	up-regulated
VSTM2L	up-regulated
KYAT1	up-regulated
TNS2	up-regulated
UNC13B	up-regulated
L1CAM	down-regulated
LEFTY1	up-regulated
SEC31A	up-regulated
AEN	down-regulated
PXN	up-regulated
MAP7	down-regulated
KIF24	down-regulated
DPYSL5	down-regulated
ADAM12	down-regulated
LTBP1	up-regulated
CDK2	down-regulated
PCSK6	up-regulated
CACNG6	down-regulated
LYRM1	up-regulated
CACNG7	down-regulated
TNFRSF21	down-regulated
MIS18BP1	down-regulated
GNAZ	down-regulated
MYO10	down-regulated
HLF	up-regulated
FBLN5	up-regulated
PTK6	up-regulated
CCDC198	down-regulated
ZBTB16	up-regulated
LINC02086	down-regulated
ATP1A1	up-regulated
NSD2	down-regulated
NUP205	down-regulated
CENPN	down-regulated
SLC3A1	down-regulated
BRIP1	down-regulated
TRAM2	up-regulated
NRCAM	up-regulated
LINC01842	up-regulated
TCF19	down-regulated
PPA1	up-regulated
RHPN2	down-regulated
ARHGAP29	down-regulated
MTFR1L	up-regulated
PRKAG2	up-regulated
GJC1	down-regulated
EME1	down-regulated
TFAM	down-regulated
ASB1	down-regulated
COQ8B	up-regulated
NCAPG2	down-regulated
WIPI1	up-regulated
SQSTM1	down-regulated
IFT57	down-regulated
CCN4	up-regulated
IVNS1ABP	down-regulated
SPOP	up-regulated
PADI3	down-regulated
HHIP	down-regulated
KNTC1	down-regulated
VANGL2	down-regulated
BCO2	up-regulated
PGBD4	up-regulated
CENPV	down-regulated
PHLDB1	down-regulated
ASF1B	down-regulated
LMCD1	down-regulated
NCOA4	up-regulated
TNFSF14	up-regulated
